id,symbols,countries,date,value
139,AZN,Azerbaijani Manat,2023-08-05,1.878605
140,AZN,Azerbaijani Manat,2023-08-06,1.879771
141,AZN,Azerbaijani Manat,2023-08-07,1.86787
142,AZN,Azerbaijani Manat,2023-08-08,1.867994
143,AZN,Azerbaijani Manat,2023-08-09,1.869792
144,AZN,Azerbaijani Manat,2023-08-10,1.861885
145,AZN,Azerbaijani Manat,2023-08-11,1.868175
146,AZN,Azerbaijani Manat,2023-08-12,1.868175
147,AZN,Azerbaijani Manat,2023-08-13,1.862815
148,AZN,Azerbaijani Manat,2023-08-14,1.857966
149,AZN,Azerbaijani Manat,2023-08-15,1.857553
150,BAM,Bosnia-Herzegovina Convertible Mark,2023-08-01,1.961125
151,BAM,Bosnia-Herzegovina Convertible Mark,2023-08-02,1.95231
152,BAM,Bosnia-Herzegovina Convertible Mark,2023-08-03,1.957856
153,BAM,Bosnia-Herzegovina Convertible Mark,2023-08-04,1.970738
154,BAM,Bosnia-Herzegovina Convertible Mark,2023-08-05,1.955511
155,BAM,Bosnia-Herzegovina Convertible Mark,2023-08-06,1.953568
156,BAM,Bosnia-Herzegovina Convertible Mark,2023-08-07,1.95995
157,BAM,Bosnia-Herzegovina Convertible Mark,2023-08-08,1.956193
158,BAM,Bosnia-Herzegovina Convertible Mark,2023-08-09,1.956151
159,BAM,Bosnia-Herzegovina Convertible Mark,2023-08-10,1.947536
160,BAM,Bosnia-Herzegovina Convertible Mark,2023-08-11,1.950491
161,BAM,Bosnia-Herzegovina Convertible Mark,2023-08-12,1.95565
162,BAM,Bosnia-Herzegovina Convertible Mark,2023-08-13,1.955655
163,BAM,Bosnia-Herzegovina Convertible Mark,2023-08-14,1.954157
164,BAM,Bosnia-Herzegovina Convertible Mark,2023-08-15,1.957166
165,BBD,Barbadian Dollar,2023-08-01,2.223387
166,BBD,Barbadian Dollar,2023-08-02,2.212784
167,BBD,Barbadian Dollar,2023-08-03,2.210162
168,BBD,Barbadian Dollar,2023-08-04,2.226678
169,BBD,Barbadian Dollar,2023-08-05,2.209473
170,BBD,Barbadian Dollar,2023-08-06,2.207278
171,BBD,Barbadian Dollar,2023-08-07,2.220301
172,BBD,Barbadian Dollar,2023-08-08,2.212105
173,BBD,Barbadian Dollar,2023-08-09,2.216618
174,BBD,Barbadian Dollar,2023-08-10,2.217141
175,BBD,Barbadian Dollar,2023-08-11,2.213675
176,BBD,Barbadian Dollar,2023-08-12,2.21953
177,BBD,Barbadian Dollar,2023-08-13,2.219535
178,BBD,Barbadian Dollar,2023-08-14,2.208043
179,BBD,Barbadian Dollar,2023-08-15,2.211454
180,BDT,Bangladeshi Taka,2023-08-01,119.514513
181,BDT,Bangladeshi Taka,2023-08-02,119.955575
182,BDT,Bangladeshi Taka,2023-08-03,119.317508
183,BDT,Bangladeshi Taka,2023-08-04,120.20113
184,BDT,Bangladeshi Taka,2023-08-05,119.272356
185,BDT,Bangladeshi Taka,2023-08-06,119.153864
186,BDT,Bangladeshi Taka,2023-08-07,120.274681
